# This file is generated on 12-Dec-2021 at 19:48:52 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 4.5000e-02, 1.8424e+01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 7.7000e-02, 1.5823e+01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.3000e-01, 1.3481e+01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 2.1000e-01, 1.1457e+01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.5000e-01, 9.5882e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 6.0000e-01, 7.9119e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 9.5000e-01, 6.6678e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.7000e+00, 5.3842e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.0000e+00, 4.3546e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 5.1000e+00, 3.4612e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 8.3000e+00, 2.7549e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.2000e+01, 2.2954e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.9000e+01, 1.8040e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.0000e+01, 1.4675e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 4.0000e+01, 1.3799e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 5.0000e+01, 1.3174e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 6.0000e+01, 1.3010e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 7.0000e+01, 1.2951e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 8.0000e+01, 1.2936e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 9.0000e+01, 1.2950e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 9.9990e+01, 1.2982e+00
