# This file is generated on 25-Nov-2021 at 16:49:18 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 1.5478e+00, 9.5359e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 1.4975e+00, 9.2257e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 1.4043e+00, 8.6518e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 1.2950e+00, 7.9784e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 1.1745e+00, 7.2361e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 1.0616e+00, 6.5403e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 9.0398e-01, 5.5692e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 7.5211e-01, 4.6336e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 5.9065e-01, 3.6389e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 4.4574e-01, 2.7461e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 3.3352e-01, 2.0548e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 1.9042e-01, 1.1731e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 7.3531e-02, 4.5301e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.0000e+01, 3.4961e-02, 2.1539e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.0000e+01, 5.0438e-03, 3.1074e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, 1.9841e-05, 1.2224e-04
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 1.5478e+00, 8.5091e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 1.5478e+00, 8.5091e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 1.5478e+00, 8.5091e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 1.5478e+00, 8.5091e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 1.5478e+00, 8.5091e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 1.4975e+00, 8.2323e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 1.4043e+00, 7.7202e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 1.2950e+00, 7.1193e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 1.1745e+00, 6.4569e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 1.0616e+00, 5.8361e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 9.0398e-01, 4.9696e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 7.5211e-01, 4.1347e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 5.9065e-01, 3.2471e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 4.4574e-01, 2.4504e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 3.3352e-01, 1.8335e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 1.9042e-01, 1.0468e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 7.3531e-02, 4.0423e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.0000e+01, 3.4961e-02, 1.9220e-01
